Nome,Cervejaria,Grupo,Estilo,Alcool,Ativa,Sazonal,Minima,Maxima,Copo,Geral,Aroma,Aparencia,Sabor,Sensacao,Conjunto,Votos
Wäls Hop Corn IPA,Cervejaria Wäls:: ver detalhes da cervejaria,Anheuser-InBev,India Pale Ale (IPA),6.7,SIM,Não é sazonal,70,5, Pint,3.7,7,4,14,4,7,46
Hop Lover,Cervejaria Serra de Três Pontas:: ver detalhes da cervejariaEstiloImperial / Double IPA  Álcool (%)8.5% ABVIBU90IngredientesLúpulos Amarillo, Citra e SimcoeAtivaSIMSazonalVerãoTemperatura5-7 °C Copo ideal ConhaqueVisite o website,NA,Imperial / Double IPA,8.5,SIM,Verão,90,5, Conhaque,4.1,8,4,16,4,8,27
Imperial Ouro,Cervejaria ImperialEstiloPremium American Lager  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Lager (Chope) CalderetaVisite o website,NA,Premium American Lager,5,SIM,Não é sazonal,5,7, Lager (Chope) Caldereta,2.7,4,3,11,3,5,34
Insana American Pale Ale,Cervejaria Insana:: ver detalhes da cervejariaEstiloAmerican Pale Ale  Álcool (%)5.5% ABVIngredientesÁgua, malte, aveia, lúpulo e levedura.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,American Pale Ale,5.5,SIM,Não é sazonal,NA,5, Pint,3,6,3,12,3,6,39
Insana Chocolate Porter,Cervejaria Insana:: ver detalhes da cervejariaEstiloPorter  Álcool (%)4.9% ABVIBU23Cor SRM30,00AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,Porter,4.9,SIM,Não é sazonal,23,5, Pint,3.3,7,4,13,3,7,76
Insana Gold,Cervejaria Insana:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Premium American Lager,5.5,SIM,Não é sazonal,0,4, Lager (Chope),3.1,6,3,12,3,6,64
Insana Pinhão Barley Wine,Cervejaria Insana:: ver detalhes da cervejariaEstiloBarley Wine  Álcool (%)8.5% ABVIBU40IngredientesÁgua, malte, pinhão, lúpulos e levedurasAtivaNÃOSazonalBrassagem únicaTemperatura8-12 °C Copo ideal Taça ConhaqueVisite o website,NA,Barley Wine,8.5,NÃO,Brassagem única,40,8, Taça Conhaque,3.4,7,4,14,3,7,31
Insana Weizen,Cervejaria Insana:: ver detalhes da cervejariaEstiloGerman Weizen  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,4.9,SIM,Não é sazonal,5,7, Weizen,2.9,6,3,11,3,6,61
Invicta 1000 IBU,Cervejaria Invicta:: ver detalhes da cervejariaEstiloImperial / Double IPA  Álcool (%)8% ABVIBU1.000IngredientesÁgua, malte de cevada, lúpulo e fermentoAtivaSIMSazonalComemorativaTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,Imperial / Double IPA,8,SIM,Comemorativa,1,5, Pint Caldereta,3.8,8,4,15,4,8,87
Invicta 108,Cervejaria Invicta:: ver detalhes da cervejariaEstiloRussian Imperial Stout  Álcool (%)10.8% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Taça ConhaqueVisite o website,NA,Russian Imperial Stout,10.8,SIM,Não é sazonal,8,12, Taça Conhaque,4,8,4,16,4,8,36
Invicta Boss,Cervejaria Invicta:: ver detalhes da cervejariaEstiloImperial / Double IPA  Álcool (%)8% ABVIBU115AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal PintVisite o website,NA,Imperial / Double IPA,8,SIM,Não é sazonal,115,8, Pint,3.9,7,4,16,4,8,80
Invicta Imperial Stout,Cervejaria Invicta:: ver detalhes da cervejariaEstiloRussian Imperial Stout  Álcool (%)9% ABVIBU65IngredientesÁgua, malte de cevada, lúpulo e fermentoAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Pint ConhaqueVisite o website,NA,Russian Imperial Stout,9,SIM,Não é sazonal,65,8, Pint Conhaque,4,8,4,16,4,8,32
Invicta India Black Ale,Cervejaria Invicta:: ver detalhes da cervejariaEstiloBlack IPA  Álcool (%)7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,Black IPA,7,SIM,Não é sazonal,5,7, Pint Caldereta,3.8,7,4,15,4,8,53
Ipa Hop,Burgman:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)6% ABVIBU60AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Caldereta,NA,India Pale Ale (IPA),6,SIM,Não é sazonal,60,5, Caldereta,3.6,7,4,15,4,7,37
Itaipava,Cervejaria PetrópolisEstiloStandard American Lager  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) Pilsner Caldereta,NA,Standard American Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner Caldereta,1.6,3,2,6,2,3,270
Itaipava Fest,Cervejaria PetrópolisEstiloStandard American Lager  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Taça Lager (Chope) Pilsner CalderetaVisite o website,NA,Standard American Lager,5,SIM,Não é sazonal,0,4, Taça Lager (Chope) Pilsner Caldereta,1.7,3,2,6,2,3,67
Itaipava Light,Cervejaria PetrópolisEstiloLite American Lager  Álcool (%)3.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Lite American Lager,3.5,SIM,Não é sazonal,0,4, Lager (Chope),1.3,2,2,4,2,3,60
Itaipava Malzbier,Cervejaria PetrópolisEstiloMalzbier  Álcool (%)4.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Lager (Chope)Visite o website,NA,Malzbier,4.2,SIM,Não é sazonal,5,7, Lager (Chope),1.5,3,2,5,2,3,78
Itaipava Premium,Cervejaria PetrópolisEstiloPremium American Lager  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) Pilsner CalderetaVisite o website,NA,Premium American Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner Caldereta,1.8,3,2,7,2,4,188
Jan Kubis,DUM CervejariaEstiloPremium American Lager  Álcool (%)5.3% ABVIBU52IngredientesÁgua, malte de cevada, lúpulo e fermento.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,Premium American Lager,5.3,SIM,Não é sazonal,52,NA, Pint,3.8,7,4,15,4,8,49
Júpiter American Pale Ale,Cervejaria JupiterEstiloAmerican Pale Ale  Álcool (%)5.4% ABVIBU37IngredientesÁgua, malte, lúpulo, leveduraAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,American Pale Ale,5.4,SIM,Não é sazonal,37,5, Pint Caldereta,3.8,7,4,15,4,7,46
Júpiter India Pale Ale,Cervejaria JupiterEstiloIndia Pale Ale (IPA)  Álcool (%)6.5% ABVIBU64AtivaSIMSazonalNão é sazonalCopo ideal Taça CalderetaVisite o website,NA,India Pale Ale (IPA),6.5,SIM,Não é sazonalCopo ideal Taça CalderetaVisite o website,64,NA, Taça Caldereta,3.7,7,4,15,4,7,36
Kaiser,Cervejaria Heineken,Heineken,Standard American Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner Caldereta,1.6,3,2,5,2,3,197
Kaiser Bock,Cervejaria Heineken,Heineken,Traditional Bock,6.2,SIM,Não é sazonal,8,12, Taça Caldereta,3,5,4,12,3,6,217
Kaiser Radler,Cervejaria Heineken,Heineken,Fruit Beer,2,SIM,Não é sazonal,0,4, Lager (Chope),2.1,4,2,8,2,4,118
Karavelle Barba Negra,Cervejaria Karavelle:: ver detalhes da cervejariaEstiloSchwarzbier  Álcool (%)4.5% ABVIngredientesÁgua, Malte, Lúpulo, FermentoAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal PintVisite o website,NA,Schwarzbier,4.5,SIM,Não é sazonal,8,12, Pint,3.2,6,3,13,3,6,45
Karavelle India Pale Ale,Cervejaria KaravelleEstiloIndia Pale Ale (IPA)  Álcool (%)7.5% ABVAtivaNÃOSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,India Pale Ale (IPA),7.5,NÃO,Não é sazonal,5,7, Pint,3.2,6,4,13,3,6,62
Karavelle Keller,Cervejaria Karavelle:: ver detalhes da cervejariaEstiloKeller/Zwickel  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Lager (Chope)Visite o website,NA,Keller/Zwickel,4.5,SIM,Não é sazonal,5,7, Lager (Chope),3,6,3,12,3,6,77
Karavelle Pilsen,Cervejaria Karavelle:: ver detalhes da cervejariaEstiloStandard American Lager  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope),3,6,3,12,3,6,69
Karavelle Red Ale,Cervejaria Karavelle:: ver detalhes da cervejariaEstiloIrish Red Ale  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,Irish Red Ale,4.5,SIM,Não é sazonal,5,7, Pint,3.2,6,4,12,3,6,82
Karavelle Weiss,Cervejaria Karavelle:: ver detalhes da cervejariaEstiloGerman Weizen  Álcool (%)5% ABVIngredientesAgua, malte de trigo, malte de cevada e lupuloAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5,SIM,Não é sazonal,5,7, Weizen,3.3,6,4,13,3,7,44
Klein Bier Brown Ale,Klein Bier:: ver detalhes da cervejariaEstiloAmerican Brown Ale  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Taça CalderetaVisite o website,NA,American Brown Ale,5,SIM,Não é sazonal,8,12, Taça Caldereta,3,6,3,12,3,6,61
Klein Bier Stout,Klein Bier:: ver detalhes da cervejariaEstiloDry Stout  Álcool (%)5.6% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal PintVisite o website,NA,Dry Stout,5.6,SIM,Não é sazonal,8,12, Pint,3.3,6,4,13,3,7,45
Klein Bier Tchec,Klein Bier:: ver detalhes da cervejariaEstiloBohemian Pilsener  Álcool (%)5.6% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal PilsnerVisite o website,NA,Bohemian Pilsener,5.6,SIM,Não é sazonal,0,4, Pilsner,3.5,6,4,14,4,7,62
Klein RockIPA,Klein Bier:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)7.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,India Pale Ale (IPA),7.2,SIM,Não é sazonal,5,7, Pint Caldereta,3.5,7,4,14,4,7,45
Kromus Beer Gold,Indústria de Bebidas ParisEstiloPremium American Lager  Álcool (%)5.1% ABVIngredientesÁgua, malte, lúpulo, antioxidante INS 316 e estabilizante INS 405AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Premium American Lager,5.1,SIM,Não é sazonal,316,405, Lager (Chope),2.6,5,3,10,3,5,40
Kronenbier,AmBev,Anheuser-InBev,Sem álcool,0.5,SIM,Não é sazonal,300,405, Lager (Chope) Caldereta,1.4,3,2,4,2,3,71
La Brunette,De Porto:: ver detalhes da cervejariaImportadoraUnilandEstiloDry Stout  Álcool (%)4.5% ABVIngredientesÁgua, cevada, malte, malte torrado, lúpulo e fermentoAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa CalderetaVisite o website,NA,Dry Stout,4.5,SIM,Não é sazonal,8,12, Tulipa Caldereta,2.5,5,3,9,3,5,157
Leuven Red Ale,Cerveja Leuven:: ver detalhes da cervejariaEstiloFlanders Red Ale  Álcool (%)6% ABVIngredientesMalte, lúpulo e água.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal TaçaVisite o website,NA,Flanders Red Ale,6,SIM,Não é sazonal,NA,5, Taça,3.4,6,4,14,3,7,38
Liber,AmBev,Anheuser-InBev,Sem álcool,0,SIM,Não é sazonal,0,4, Lager (Chope) Caldereta,1,2,1,NA,NA,NA,79
Lokal Bier,Cervejaria PetrópolisEstiloStandard American Lager  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Tulipa Pilsner Lager (Chope) Caldereta TaçaVisite o website,NA,Standard American Lager,4.7,SIM,Não é sazonal,0,4, Tulipa Pilsner Lager (Chope) Caldereta Taça,1.5,3,2,5,2,3,57
Lost in Translation IPA Brett,Cervejaria Tupiniquim:: ver detalhes da cervejaria:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)6.5% ABVIngredientesÁgua, malte de cevada, malte de trigo, aveia, lúpulo e leveduras.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint Caldereta,NA,India Pale Ale (IPA),6.5,SIM,Não é sazonal,NA,5, Pint Caldereta,3.8,8,4,15,4,8,44
Madalena Bohemian Pilsner,Cervejaria Premium PaulistaEstiloBohemian Pilsener  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) PilsnerVisite o website,NA,Bohemian Pilsener,5,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner,3.3,6,4,13,3,7,31
Madalena IPA,Cervejaria Premium PaulistaEstiloIndia Pale Ale (IPA)  Álcool (%)7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint Caldereta,NA,India Pale Ale (IPA),7,SIM,Não é sazonal,5,7, Pint Caldereta,3.6,7,4,15,4,7,34
Mãe Preta,BelcoEstiloSweet Stout  Álcool (%)4% ABVIngredientesÁgua, malte pilsen, malte torrado, cereais não maltados, carboidratos, lúpulo, antioxidante INS 316, estabilizante INS 405 e corante caramelo.AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Caldereta TaçaVisite o website,NA,Sweet Stout,4,SIM,Não é sazonal,405,NA, Caldereta Taça,1.6,3,3,5,2,3,33
Maniacs IPA,Maniacs BrewingEstiloIndia Pale Ale (IPA)  Álcool (%)4.7% ABVIBU30AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,India Pale Ale (IPA),4.7,SIM,Não é sazonal,30,5, Pint,3.4,7,3,14,3,7,31
2cabeças Maracujipa,2cabeças:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)7.5% ABVIBU70AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,India Pale Ale (IPA),2,SIM,Não é sazonal,7.5,70, Pint,3.8,7,4,15,4,8,78
Medieval,Cervejaria Backer:: ver detalhes da cervejariaEstiloBelgian Blond Ale  Álcool (%)6.7% ABVIngredientesÁgua, malte, lúpulo e antioxidante INS 316AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal TulipaVisite o website,NA,Belgian Blond Ale,6.7,SIM,Não é sazonal,316,5, Tulipa,3.7,7,4,15,4,7,199
Mistura Clássica Beatus Tripel,Mistura Clássica:: ver detalhes da cervejariaEstiloBelgian Tripel  Álcool (%)10% ABVIngredientesÁgua, malte, lúpulos e fermento.AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa TaçaVisite o website,NA,Belgian Tripel,10,SIM,Não é sazonal,NA,8, Tulipa Taça,3.6,7,4,15,3,7,33
Mistura Clássica Bill's Beer APA,Mistura Clássica:: ver detalhes da cervejariaEstiloAmerican Pale Ale  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,American Pale Ale,5.5,SIM,Não é sazonal,5,7, Pint Caldereta,3.7,7,4,15,4,7,44
Mistura Clássica Cheers Red Ale,Mistura Clássica:: ver detalhes da cervejariaEstiloIrish Red Ale  Álcool (%)6% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa ConhaqueVisite o website,NA,Irish Red Ale,6,SIM,Não é sazonal,5,7, Tulipa Conhaque,3,6,3,12,3,6,30
Mistura Clássica PanHead Stout,Mistura Clássica:: ver detalhes da cervejariaImportadoraBeers on The TableEstiloAmerican Stout  Álcool (%)7.5% ABVIngredientesÁgua, malte de cevada, lúpulo e fermento.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,American Stout,7.5,SIM,Não é sazonal,NA,5, Pint,3.6,7,4,14,3,7,27
Mistura Clássica Premium,Mistura Clássica:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) Pilsner CalderetaVisite o website,NA,Premium American Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner Caldereta,3.3,6,3,13,3,7,34
Monjolo Floresta Negra,Cervejaria Tupiniquim:: ver detalhes da cervejariaEstiloImperial / Strong Porter  Álcool (%)10.5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa,NA,Imperial / Strong Porter,10.5,SIM,Não é sazonal,8,12, Tulipa,4,8,5,16,4,8,29
Double Vienna,Morada Cia EtílicaEstiloVienna Lager  Álcool (%)7.6% ABVIBU36Cor SRM9,50Ingredienteságua, malte, lúpulo e levedura. AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal TulipaVisite o website,NA,Vienna Lager,7.6,SIM,Não é sazonal,36,NA, Tulipa,3.8,7,4,15,4,8,42
Gasoline Soul,Morada Cia EtílicaEstiloScottish  Álcool (%)6.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint,NA,Scottish,6.7,SIM,Não é sazonal,5,7, Pint,3.7,7,4,15,4,7,32
Mula IPA,Cervejaria Nacional:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)7.5% ABVIBU60AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CalderetaVisite o website,NA,India Pale Ale (IPA),7.5,SIM,Não é sazonal,60,5, Caldereta,3.7,7,4,15,4,7,48
Nova Schin,Schincariol,Schincariol,Standard American Lager,4.7,SIM,Não é sazonal,0,4, Pilsner Lager (Chope) Caldereta,1.4,2,2,5,2,3,170
Nova Schin Malzbier,Schincariol,Schincariol,Malzbier,4.3,SIM,Não é sazonal,5,7, Lager (Chope),1.7,3,2,6,2,3,62
Nova Schin Munich,Schincariol,Schincariol,Munich Dunkel,4.7,SIM,Não é sazonal,5,7, Caldereta Taça,2.3,4,3,9,2,5,129
Nova Schin Zero,Schincariol,Schincariol,Sem álcool,0,SIM,Não é sazonal,2,NA, Lager (Chope) Pilsner,1.8,3,3,6,2,4,29
NS2 Tequila com Limão,Schincariol,Schincariol,Specialty Beer,4.7,SIM,Não é sazonal,330,0, Lager (Chope) Caldereta,2.2,4,3,8,2,4,29
Oito e Um,AmBev,Anheuser-InBev,American Stout,4,SIM,Não é sazonal,22,8, Pint,3.1,7,4,12,3,6,43
Old Ship Pale Ale,Cervejaria Dortmund:: ver detalhes da cervejariaEstiloAmerican Pale Ale  Álcool (%)4.9% ABVIBU35AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,American Pale Ale,4.9,SIM,Não é sazonal,35,5, Pint Caldereta,3.5,7,4,14,3,7,40
Opa Bier Old Ale,Opa Bier:: ver detalhes da cervejariaEstiloOld Ale  Álcool (%)6.5% ABVAtivaSIMSazonalComemorativaTemperatura8-12 °C Copo ideal Tulipa ConhaqueVisite o website,NA,Old Ale,6.5,SIM,Comemorativa,8,12, Tulipa Conhaque,3.5,7,4,14,3,7,83
Opa Bier Pale Ale,Opa Bier:: ver detalhes da cervejariaEstiloAmerican Pale Ale  Álcool (%)4.8% ABVIngredientesÁgua, malte de cevada, lúpulo e antioxidante INS 316AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa PintVisite o website,NA,American Pale Ale,4.8,SIM,Não é sazonal,316,5, Tulipa Pint,2.7,5,3,11,3,5,102
Opa Bier Pilsen,Opa Bier:: ver detalhes da cervejariaEstiloStandard American Lager  Álcool (%)4.6% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,4.6,SIM,Não é sazonal,0,4, Lager (Chope),2.4,4,3,9,3,5,98
Opa Bier Porter,Opa Bier:: ver detalhes da cervejariaEstiloPorter  Álcool (%)4.6% ABVIngredientesÁgua, malte de cevada, lúpulo e antioxidante INS 316AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa CalderetaVisite o website,NA,Porter,4.6,SIM,Não é sazonal,316,8, Tulipa Caldereta,2.8,5,3,11,3,6,92
Opa Bier Weizen,Opa Bier:: ver detalhes da cervejariaEstiloGerman Weizen  Álcool (%)4.6% ABVIngredientesÁgua, malte de cevada, malte de trigo, lúpulo e leveduraAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,4.6,SIM,Não é sazonal,5,7, Weizen,2.6,5,3,10,3,5,115
Original,AmBev,Anheuser-InBev,Standard American Lager,5.07,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner,2.2,4,3,8,3,5,287
Coruja Otus Hop,Coruja:: ver detalhes da cervejariaEstiloAmerican Pale Ale  Álcool (%)5.5% ABVIBU35AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Pint Caldereta,NA,American Pale Ale,5.5,SIM,Não é sazonal,35,0, Pint Caldereta,3.3,6,4,13,3,7,30
Pagan IPA,Gaudenbier Cervejaria:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)7.2% ABVAtivaNÃOSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,India Pale Ale (IPA),7.2,NÃO,Não é sazonal,5,7, Pint,3.5,7,4,14,3,7,39
Paulistânia,Casa di Conti:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)4.8% ABVIngredientesÁgua, Maltes, Lúpulos, Estabilizante INS 405 e Antioxidante INS 316AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal TulipaVisite o website,NA,Premium American Lager,4.8,SIM,Não é sazonal,405,316, Tulipa,2.8,5,3,11,3,6,200
Paulistânia Escura,Casa di Conti:: ver detalhes da cervejariaEstiloMunich Dunkel  Álcool (%)5.6% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Dunkel,5.6,SIM,Não é sazonal,5,7, Caneca,3.3,6,4,13,3,7,78
Paulistânia Vermelha,Casa di Conti:: ver detalhes da cervejariaEstiloAmber Lager  Álcool (%)6.2% ABVIBU15Cor SRM5,00Ingredienteságua, malte, lúpuloAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal TaçaVisite o website,NA,Amber Lager,6.2,SIM,Não é sazonal,15,0, Taça,3.3,6,4,13,3,7,59
Bodebrown Perigosa Imperial IPA,Cervejaria Bodebrown:: ver detalhes da cervejariaEstiloImperial / Double IPA  Álcool (%)9.1% ABVIBU100AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal TulipaVisite o website,NA,Imperial / Double IPA,9.1,SIM,Não é sazonal,100,5, Tulipa,4.1,8,4,16,4,8,149
Petra Aurum,Cervejaria PetrópolisEstiloPremium American Lager  Álcool (%)6.2% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Pilsner Caneca,NA,Premium American Lager,6.2,SIM,Não é sazonal,0,4, Pilsner Caneca,2.7,5,3,11,3,5,136
Petra Bock,Cervejaria PetrópolisEstiloTraditional Bock  Álcool (%)6.2% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Caldereta TaçaVisite o website,NA,Traditional Bock,6.2,SIM,Não é sazonal,8,12, Caldereta Taça,2.6,5,3,10,3,5,125
Petra Pilsen,Cervejaria PetrópolisEstiloStandard American Lager  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope),2.2,4,2,8,3,4,29
Petra Premium,Cervejaria PetrópolisEstiloSchwarzbier  Álcool (%)4.4% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa CalderetaVisite o website,NA,Schwarzbier,4.4,SIM,Não é sazonal,8,12, Tulipa Caldereta,2.4,4,3,9,3,5,200
Petra Schwarzbier,Cervejaria PetrópolisEstiloSchwarzbier  Álcool (%)6.2% ABVIngredientesÁgua, malte de cevada, cereais não malteados, carboidratos, corante de caramelo (INS 150c) e lúpulo. Contém antioxidante (INS 316) e estabilizante (INS 405).CONTÉM GLÚTEN.AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TulipaVisite o website,NA,Schwarzbier,6.2,SIM,Não é sazonal,150,NA, Tulipa,2.6,4,3,10,3,5,121
Petra Stark Bier,Cervejaria PetrópolisEstiloPremium American Lager  Álcool (%)8.2% ABVIngredientesÁgua, malte de cevada e lúpuloAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal TulipaVisite o website,NA,Premium American Lager,8.2,SIM,Não é sazonal,0,4, Tulipa,3.3,6,4,13,3,6,130
Petra Weiss Bier,Cervejaria PetrópolisEstiloGerman Weizen  Álcool (%)5.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.2,SIM,Não é sazonal,5,7, Weizen,2.7,5,3,10,3,5,155
Polar Export,AmBev,Anheuser-InBev,Standard American Lager,5.07,SIM,Não é sazonal,0,4, Pilsner,2.1,3,3,8,2,4,96
Primus,Schincariol,Schincariol,Standard American Lager,4.7,SIM,Não é sazonal,0,4, Pilsner Lager (Chope) Caldereta,1.8,3,2,6,2,4,63
Proibida,Companhia Brasileira de Bebidas PremiumEstiloStandard American Lager  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,5,SIM,Não é sazonal,0,4, Lager (Chope),2,3,3,7,2,4,87
Proibida Puro Malte,Cervejaria PremiumEstiloPremium American Lager  Álcool (%)5.1% ABVIngredientesÁgua, malte e lúpulos - antioxidante INS 316, estabilizante INS 405AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) PilsnerVisite o website,NA,Premium American Lager,5.1,SIM,Não é sazonal,405,0, Lager (Chope) Pilsner,2.6,5,3,10,3,5,87
Província,Cervejaria RiograndenseEstiloStandard American Lager  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) CalderetaVisite o website,NA,Standard American Lager,5,SIM,Não é sazonal,0,4, Lager (Chope) Caldereta,2.6,5,3,10,3,5,52
Província European Red,Cervejaria RiograndenseEstiloVienna Lager  Álcool (%)5.3% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CalderetaVisite o website,NA,Vienna Lager,5.3,SIM,Não é sazonal,5,7, Caldereta,3.1,6,3,12,3,6,29
